rank,anomaly_score,reason,timestamp,txid,src_ip,dst_ip,src_country,src_asn,src_asn_org,num_inputs,num_outputs,total_input_amount,total_output_amount,fee,ip_wallet_diversity,is_anomaly,anomaly_type
13,0.679175356665393,"src_ip_burst_count=3 (above median 1, z=9.5); total_input_amount=5.528 (above median 0.09975, z=4.9); total_output_amount=5.525 (above median 0.09954, z=4.9)",2025-01-22T16:42:04,cd28e63dd00e4642ac596bb12e5202346889cd2281eb45ad9ad501a6fa7d42ad,32.204.14.22,94.214.114.129,US,14618.0,"Amazon.com, Inc.",1,2,5.52793207,5.5251681,0.00276397,70,1,peel_chain
14,0.6760920881160651,"total_output_amount=9.997 (above median 0.09954, z=8.9); total_input_amount=10 (above median 0.09975, z=8.9); is_offhours=1 (above median 0, z=3.5)",2025-01-16T02:21:03,dd7aaf46e13e490eb8bc6b222829e346d10d6ce39de34dc48bfc9a13ffea3417,84.135.191.53,112.90.86.97,DE,3320.0,Deutsche Telekom AG,1,1,10.0,9.997,0.003,70,1,round_amount_offhours
15,0.6701651366139971,"total_input_amount=6.206 (above median 0.09975, z=5.5); total_output_amount=6.203 (above median 0.09954, z=5.5); src_country_unknown=1 (above median 0, z=4.2)",2025-01-10T22:59:19,d36cc5d093fe4b20af1bf295a01c7ea6df8b7f3437794a77ab899588e3c80de0,231.209.49.33,208.67.222.222,Unknown,Unknown,Unknown,1,2,6.20615029,6.203047209999999,0.00310308,68,1,peel_chain
16,0.6692666932074564,"total_output_amount=24.99 (above median 0.09954, z=22.3); total_input_amount=25 (above median 0.09975, z=22.3); is_offhours=1 (above median 0, z=3.5)",2025-01-10T03:30:43,e4d4a7ff30e94666815f6a8146149a44b3ac60723285491286286c7b38e22c26,120.52.207.69,183.172.151.63,CN,133119.0,China Unicom IP network,1,1,25.0,24.9925,0.0075,69,1,round_amount_offhours
17,0.667616017470248,"num_outputs=21 (above median 2, z=16.6); src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=3.647 (above median 0.09975, z=3.2)",2025-01-03T05:46:29,6889961291ec4488a930be6adc8fb380e1e8ac74324f4eabb1dae8b34145bb4a,199.68.36.14,7.227.173.119,US,Unknown,Unknown,1,21,3.6470652,3.64341814,0.00364707,54,1,rapid_fan_out_layering
18,0.6670373656806,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=5.154 (above median 0.09975, z=4.5); total_output_amount=5.151 (above median 0.09954, z=4.5)",2025-01-22T16:45:04,6f57185c8b804675b75f257672ca1b8cc010c46f45c64e459477f1721ab60b7e,32.204.14.22,94.214.114.129,US,14618.0,"Amazon.com, Inc.",1,2,5.15357368,5.15099689,0.00257679,70,1,peel_chain
19,0.666500755253702,"total_input_amount=6.882 (above median 0.09975, z=6.1); total_output_amount=6.878 (above median 0.09954, z=6.1); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-22T01:28:47,facd6511276c4f5d8545d15a4be983ccd4fd63a24622416cb803460015d054f6,203.177.174.207,163.2.210.176,PH,132199.0,Globe Telecom Inc.,1,2,6.88189103,6.8784500799999995,0.00344095,76,1,peel_chain
20,0.666097232282561,"total_output_amount=9.997 (above median 0.09954, z=8.9); total_input_amount=10 (above median 0.09975, z=8.9); is_offhours=1 (above median 0, z=3.5)",2025-01-12T03:35:23,9dd19ad1b12b4fc3bceeb3c6937e6daec6f6dfe3778a4b02b8151601c810a000,46.187.146.175,111.233.48.42,PL,43118.0,East & West Sp. z o.o.,1,1,10.0,9.997,0.003,66,1,round_amount_offhours
21,0.6651492914206286,"total_input_amount=6.477 (above median 0.09975, z=5.7); total_output_amount=6.474 (above median 0.09954, z=5.7); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-22T01:38:47,9a268281d06548e7bfbbc6b4d35deb17b006d163d78340e6abc0b06dd897183c,203.177.174.207,163.2.210.176,PH,132199.0,Globe Telecom Inc.,1,2,6.47739908,6.474160380000001,0.0032387,76,1,peel_chain
22,0.6638073335628711,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T02:46:10,4e8199316ed7458fa308499735492c8086dec0543e6f41128843b2121926ad75,16.86.83.227,104.149.85.76,US,16509.0,"Amazon.com, Inc.",3,3,0.21131181999999998,0.21111485,0.00019697,75,0,none
23,0.6634366524186841,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.839 (above median 0.09975, z=4.2); total_output_amount=4.836 (above median 0.09954, z=4.2)",2025-01-22T16:51:04,c8d29ea48a72430691fac49a4542b86f4a493ab69db1426db5ce25ab291cbf8e,32.204.14.22,94.214.114.129,US,14618.0,"Amazon.com, Inc.",1,2,4.83879084,4.83637144,0.0024194,70,1,peel_chain
24,0.6622637474117484,"total_input_amount=6.219 (above median 0.09975, z=5.5); total_output_amount=6.216 (above median 0.09954, z=5.5); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-22T01:39:47,95d463b46e4342d6b52fd27a569d8eef6629456fd4b84f1db477247b0b3ca44b,203.177.174.207,163.2.210.176,PH,132199.0,Globe Telecom Inc.,1,2,6.2192613,6.21615167,0.00310963,76,1,peel_chain
25,0.6615319979238566,"total_input_amount=6.016 (above median 0.09975, z=5.3); total_output_amount=6.013 (above median 0.09954, z=5.3); is_offhours=1 (above median 0, z=3.5)",2025-01-22T02:36:47,0615ea47ff784050bde167464f585e860ef86e4b9f144f558aad326bcf86f370,203.177.174.207,163.2.210.176,PH,132199.0,Globe Telecom Inc.,1,2,6.01623103,6.0132229100000005,0.00300812,76,1,peel_chain
26,0.6605253896629698,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.439 (above median 0.09975, z=3.9); total_output_amount=4.437 (above median 0.09954, z=3.9)",2025-01-22T16:54:04,393ce9748c6c40859894fd7d5464a7a764cbc80ff5154d4997b75b04bbcf5280,32.204.14.22,94.214.114.129,US,14618.0,"Amazon.com, Inc.",1,2,4.43887266,4.43665322,0.00221944,70,1,peel_chain
27,0.6568012790634158,"total_output_amount=4.998 (above median 0.09954, z=4.4); total_input_amount=5 (above median 0.09975, z=4.4); is_offhours=1 (above median 0, z=3.5)",2025-01-24T03:44:34,0c207539acdb42bd87c6568548ff990275d397f82a004bf2b4a21e7dbaf10646,219.184.250.109,58.22.187.41,JP,17676.0,SoftBank Corp.,1,1,5.0,4.9985,0.0015,59,1,round_amount_offhours
28,0.6564283944897512,"total_input_amount=3.82 (above median 0.09975, z=3.3); total_output_amount=3.818 (above median 0.09954, z=3.3); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-15T10:56:00,835f0e958bf643f3bb3ab156e4ae50d3d2ea5e78e4a540f3b84048e9247a5354,19.139.58.31,227.76.191.174,US,Unknown,Unknown,1,2,3.81958065,3.81767086,0.00190979,87,1,peel_chain
29,0.6564283944897512,"total_input_amount=4.117 (above median 0.09975, z=3.6); total_output_amount=4.115 (above median 0.09954, z=3.6); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-15T10:48:00,f4b60f175227495196cbe58c2606aefa81c2ed3228c64e1da4de15d4207be99d,19.139.58.31,227.76.191.174,US,Unknown,Unknown,1,2,4.11697834,4.11491985,0.00205849,87,1,peel_chain
30,0.6556593064255284,"total_output_amount=4.998 (above median 0.09954, z=4.4); total_input_amount=5 (above median 0.09975, z=4.4); is_offhours=1 (above median 0, z=3.5)",2025-01-29T03:47:36,010bf0f401da4a118878bab3f4192f6847675be5e77a4d0bb5570f7e8f39dfe3,58.44.81.30,179.68.146.222,CN,4134.0,Chinanet,1,1,5.0,4.9985,0.0015,58,1,round_amount_offhours
31,0.6552220070496233,"num_outputs=19 (above median 2, z=14.9); src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5)",2025-01-10T03:37:24,e8431e7874f24eafb3d3c36c6d50336db0c9bebfe13e426e8e7198105b9b4298,76.76.2.0,49.211.215.164,CA,398962.0,CONTROLD INC.,1,19,2.39484468,2.39244985,0.00239484,53,1,rapid_fan_out_layering
32,0.6550068053389589,"num_outputs=25 (above median 2, z=20.1); src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.339 (above median 0.09975, z=3.8)",2025-01-09T22:27:07,79d8f352d66a412c8817422a303d12466e4cf5648c1b4e00a39043227965cb3d,49.211.215.164,112.138.131.230,CN,7497.0,Computer Network Information Center of Chinese Academy of Sciences (CNIC-CAS),1,25,4.33892984,4.33459091,0.00433893,63,1,rapid_fan_out_layering
33,0.6541926061844909,"total_input_amount=7.149 (above median 0.09975, z=6.3); total_output_amount=7.146 (above median 0.09954, z=6.3); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-09T08:26:47,abdf3ce4f3584d2cb8dbbfa84a565b33c1a254cadebe4fe9b34e7e3ad136c3ed,210.160.129.76,104.149.85.76,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,2,7.14919476,7.14562016,0.0035746,68,1,peel_chain
34,0.6539713347315276,"total_input_amount=6.695 (above median 0.09975, z=5.9); total_output_amount=6.692 (above median 0.09954, z=5.9); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-09T08:18:47,f7f7e006401b4ea0b96c1134f2908786a7aa931a2c794ac48beb25486d540ba5,210.160.129.76,104.149.85.76,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,2,6.69500485,6.69165735,0.0033475,68,1,peel_chain
35,0.6525126763101202,"num_outputs=15 (above median 2, z=11.4); src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.182 (above median 0.09975, z=3.7)",2025-01-22T23:39:36,2a4a5b23c27746f48b4aa75fb2ffe60418ca20335b094015b4b04a6fe0ba3d41,88.245.181.44,219.184.250.109,TR,9121.0,Turk Telekom,1,15,4.18155118,4.17736962,0.00418155,52,1,rapid_fan_out_layering
36,0.6521348074894021,"total_input_amount=6.388 (above median 0.09975, z=5.6); total_output_amount=6.385 (above median 0.09954, z=5.6); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-09T09:03:47,74d2f1c8d1f14b3f93fb4f3125026dfd3c3dc7fcd74c47ccaa1262ec25931545,210.160.129.76,104.149.85.76,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,2,6.38772829,6.38453443,0.00319386,68,1,peel_chain
37,0.6519381591024325,"primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.513 (above median 0.09975, z=3.1); total_output_amount=3.511 (above median 0.09954, z=3.1)",2025-01-15T11:20:00,8ab704c1c407491c8d9081d7e2831d9ff11d14dab2d849f099494de45b715dbf,19.139.58.31,227.76.191.174,US,Unknown,Unknown,1,2,3.51324104,3.5114844200000004,0.00175662,87,1,peel_chain
38,0.6484025405834227,"src_ip_burst_count=3 (above median 1, z=9.5); total_input_amount=4.871 (above median 0.09975, z=4.3); total_output_amount=4.869 (above median 0.09954, z=4.3)",2025-01-19T15:34:43,f0f0db5c81cd462b875f5f126a22c43f4b541c07af554238aab809393aca7ab3,41.34.220.1,167.145.255.192,EG,8452.0,IDDQD-AS,1,2,4.87115327,4.8687176899999995,0.00243558,71,1,peel_chain
39,0.6475947931551564,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-07T03:36:30,9528f5535bc54114aecb937a56a4cf0702d11f619aec46ee81d2fb6c7e635367,16.86.83.227,199.221.219.150,US,16509.0,"Amazon.com, Inc.",1,1,1.0,0.9997,0.0003,75,1,round_amount_offhours
40,0.6455387077440279,"src_ip_burst_count=3 (above median 1, z=9.5); total_input_amount=4.545 (above median 0.09975, z=4.0); total_output_amount=4.543 (above median 0.09954, z=4.0)",2025-01-19T15:31:43,55cdf70b318247579063c43b90c0da08376a83feed77410ab5844a170a1a4f11,41.34.220.1,167.145.255.192,EG,8452.0,IDDQD-AS,1,2,4.54533573,4.54306306,0.00227267,71,1,peel_chain
41,0.6451020928090198,"src_ip_burst_count=3 (above median 1, z=9.5); total_input_amount=4.326 (above median 0.09975, z=3.8); total_output_amount=4.324 (above median 0.09954, z=3.8)",2025-01-19T15:35:43,5577c8a46eff43edb8ee1beb8f52e744bf78ce7e98074452a6527bb87c88b382,41.34.220.1,167.145.255.192,EG,8452.0,IDDQD-AS,1,2,4.32588481,4.32372187,0.00216294,71,1,peel_chain
42,0.6445673568203059,"num_inputs=35 (above median 1, z=28.4); src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-18T14:09:20,d5228ea32caa4fc6a68db2efada1022eab6c24968e464481ad22f0f7e5d3817a,8.8.4.4,1.0.0.1,US,15169.0,Google LLC,35,1,0.15901851,0.15885949,0.00015902,73,1,fan_in_smurfing
43,0.6442922845155459,"total_input_amount=5.763 (above median 0.09975, z=5.1); total_output_amount=5.76 (above median 0.09954, z=5.1); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-09T09:12:47,ce0e7674070c4bafb4fdc8d18e81aa0f324730ac8b8644e4bd0117b2c7238c39,210.160.129.76,104.149.85.76,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,2,5.76273659,5.7598552199999995,0.00288137,68,1,peel_chain
44,0.6440743617072168,"total_input_amount=5.985 (above median 0.09975, z=5.3); total_output_amount=5.982 (above median 0.09954, z=5.3); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-09T09:20:47,1e23ee3e812847dfbb36dae05a9c88d81f8157414e0c47b8bf7d6aab64c3f150,210.160.129.76,104.149.85.76,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,2,5.98478561,5.98179322,0.00299239,68,1,peel_chain
45,0.6434028505741805,"total_input_amount=5.391 (above median 0.09975, z=4.7); total_output_amount=5.383 (above median 0.09954, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-01T01:45:19,95fcff1a0d9648cb8d1f918028b9193a0c867cfe301343f39b03a8be15dd5b5b,129.111.105.72,173.140.25.175,US,26971.0,AS26971,3,3,5.39070372,5.38336976,0.00733395,55,0,none
46,0.6430336433602993,"num_outputs=22 (above median 2, z=17.5); src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-17T22:06:16,a69d4e4c37d04ad1b9d12fc2158d445dd28fa070769048ec9398459237c10b46,84.135.191.53,1.0.0.1,DE,3320.0,Deutsche Telekom AG,1,22,1.51816492,1.51664675,0.00151816,70,1,rapid_fan_out_layering
47,0.6427797296110311,"total_input_amount=4.689 (above median 0.09975, z=4.1); total_output_amount=4.687 (above median 0.09954, z=4.1); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T17:47:04,3fa95cc975034078b566b9dc706f101a85c5d36159bd4027b56a3301860d7758,32.204.14.22,94.214.114.129,US,14618.0,"Amazon.com, Inc.",1,2,4.68946247,4.687117740000001,0.00234473,70,1,peel_chain
48,0.6421606932739543,"total_input_amount=5.524 (above median 0.09975, z=4.9); total_output_amount=5.521 (above median 0.09954, z=4.9); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-19T15:11:43,6369fa27ef724855965dd04283472fe3283875562bcb4ffca8ac5ad02540d174,41.34.220.1,167.145.255.192,EG,8452.0,IDDQD-AS,1,2,5.52362821,5.5208664,0.00276181,71,1,peel_chain
49,0.6410336335884986,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-17T02:21:46,7e99d33d4fcf4e338ec9bfbb85905c6661140db6bc1b4a56af81793f8fbba4b4,8.8.4.4,51.45.47.23,US,15169.0,Google LLC,1,1,0.65190019,0.65007007,0.00183012,73,0,none
50,0.6408896586046866,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.194 (above median 0.09975, z=3.7); total_output_amount=4.192 (above median 0.09954, z=3.7)",2025-01-01T21:41:46,6b615a9bc34741309b7d6593efdcb445eb07f504fce54bbda34202eaf9cb7bb0,24.227.216.63,237.64.120.101,US,11427.0,Charter Communications Inc,1,2,4.19369644,4.19159959,0.00209685,71,1,peel_chain
51,0.6401424244377618,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=3.898 (above median 0.09975, z=3.4); total_output_amount=3.896 (above median 0.09954, z=3.4)",2025-01-01T22:00:46,ed82119cbade48a38c25e892c6eb78b6f54ce4edbaa449198f9fea539ef1aaed,24.227.216.63,237.64.120.101,US,11427.0,Charter Communications Inc,1,2,3.89822888,3.89627977,0.00194911,71,1,peel_chain
52,0.6396942397072237,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=5.134 (above median 0.09975, z=4.5); total_output_amount=5.131 (above median 0.09954, z=4.5)",2025-01-19T15:15:43,313755da7c9142bfbde04597e8a527f20b2a30af659b43c4a2e664cf99f7539c,41.34.220.1,167.145.255.192,EG,8452.0,IDDQD-AS,1,2,5.13365459,5.13108776,0.00256683,71,1,peel_chain
53,0.6378505785544657,"num_outputs=33 (above median 2, z=27.2); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-15T23:26:22,8e038e7029c74904be1fd4a50212e12473e001bfbaa34f6b926c536996682966,41.34.220.1,188.90.68.112,EG,8452.0,IDDQD-AS,1,33,2.67024706,2.66757679,0.00267025,71,1,rapid_fan_out_layering
54,0.6357316874374032,"src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.429 (above median 0.09975, z=3.0)",2025-01-01T22:02:46,5333385fc29c4ce4884a80acb7f527f5d04ebd9797cb40f3a87c5976fd14b785,24.227.216.63,237.64.120.101,US,11427.0,Charter Communications Inc,1,2,3.42869636,3.42698201,0.00171435,71,1,peel_chain
55,0.6345324243748222,"src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.434 (above median 0.09975, z=3.0)",2025-01-18T13:35:55,e112143377ea43d49f2b64035b4b8d5985d7254929c94829a72d4bf08bef0395,218.120.159.176,144.131.16.166,JP,17676.0,SoftBank Corp.,1,2,3.43370651,3.4319896599999997,0.00171685,73,1,peel_chain
56,0.6341350761259191,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=3.648 (above median 0.09975, z=3.2); total_output_amount=3.646 (above median 0.09954, z=3.2)",2025-01-18T13:35:55,f0e656ffc15a43b191676ff4ab119d9ec7923cd51e0843bf87f80c5f58b77037,218.120.159.176,144.131.16.166,JP,17676.0,SoftBank Corp.,1,2,3.64829415,3.64647,0.00182415,73,1,peel_chain
57,0.6338753358913585,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=3.594 (above median 0.09975, z=3.1); total_output_amount=3.593 (above median 0.09954, z=3.1)",2025-01-01T21:42:46,901f367863244b4a8a1c977b5a53083562ebce665341417fb3bfac007d4a613d,24.227.216.63,237.64.120.101,US,11427.0,Charter Communications Inc,1,2,3.59436118,3.592564,0.00179718,71,1,peel_chain
58,0.6314640043356494,"num_outputs=24 (above median 2, z=19.3); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-04T12:00:05,56997f80651d449fa8ffa348813d9c3ef7ce824dba004432a35a3719b5a96b17,154.83.155.109,219.205.18.193,US,Unknown,Unknown,1,24,2.16703614,2.1648690999999998,0.00216704,68,1,rapid_fan_out_layering
59,0.6307629876285621,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=21 (above median 13, z=2.1)",2025-01-07T21:02:01,8e66db4c99e3457c8acb0a4c2c73e8c9afb1455af18b46379d0c8c989391ea10,1.1.1.1,121.199.204.76,Unknown,13335.0,"Cloudflare, Inc.",2,2,2.02856804,2.0274659600000002,0.00110208,68,0,none
60,0.6303843300432399,"src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.194 (above median 0.09975, z=2.8)",2025-01-18T13:48:55,c890b274ec604f38b385684616a0bc9b4026980f2dbb4d6aa3012743b3b95484,218.120.159.176,144.131.16.166,JP,17676.0,SoftBank Corp.,1,2,3.19438714,3.19278995,0.00159719,73,1,peel_chain
61,0.6300258527884367,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-10T02:24:11,ceaa49ff6a0b40f9a711d4bbe7b4472ae801e1e9572b49978ad8cb75c3d19f6c,229.233.18.21,62.215.218.142,Unknown,Unknown,Unknown,2,1,1.02997062,1.02930933,0.00066129,55,0,none
62,0.6297099265129734,"total_input_amount=5.657 (above median 0.09975, z=5.0); total_output_amount=5.654 (above median 0.09954, z=5.0); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-22T01:59:47,1d9f2ee87f414caa8bd983b27cf1b0cdd8cef31842414da98f0d621d4331cd21,203.177.174.207,163.2.210.176,PH,132199.0,Globe Telecom Inc.,1,2,5.6571882,5.65435961,0.00282859,76,1,peel_chain
63,0.6295814197857795,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); hour_of_day=23 (above median 11, z=1.7)",2025-01-12T23:46:57,21bdfbd42d2b4bf5ba2edbd0275d10def453f79f92b64a7abbd47a8296dcacf6,1.0.0.1,111.233.48.42,Unknown,13335.0,"Cloudflare, Inc.",3,1,1.09615392,1.09301205,0.00314187,61,0,none
64,0.6294164238096444,"num_outputs=31 (above median 2, z=25.4); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-14T17:17:35,3417c26cf11a4b8fa614f76af5802dbb0e7c2839cfa84c89bcf05fcb364339c7,210.160.129.76,112.138.131.230,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",1,31,2.65849763,2.65583911,0.0026585,68,1,rapid_fan_out_layering
65,0.6291328066830186,"num_outputs=23 (above median 2, z=18.4); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-23T00:08:07,0e902ab6715c4ecfb2813ce0f89758fa8d2033fb565c49a28838eef26f9ccebb,164.212.88.48,39.127.132.34,US,749.0,United States Department of Defense (DoD),1,23,2.07436093,2.07228657,0.00207436,65,1,rapid_fan_out_layering
